PkgName,PkgVer,num(direct_deps),LC_HELP,LC_base,Relation
transaction,3.0.1,1,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*",">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*",Consistent
qnapstats,0.4.0,2,>=3.4,>=3.4,Consistent
pinax-webanalytics,5.0.0,1,>=3.5,>=3.6,Super
djangocms-link,3.0.0,3,>=3.7,>=3.5,Superset
ipinfo,4.2.1,3,~=3.5,>=3.5,Consistent
pyradiomics,3.0.1,5,>=3.5,>=3.5,Consistent
Flask-SeaSurf,1.1.1,1,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*",>=3.7,Superset
pconf,1.9.1,2,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*,!=3.4.*,!=3.5.*",>=3.6,Consistent
django-organizations,2.0.2,2,>=3.5,>=3.5,Consistent
kneed,0.7.0,3,>=3.5,>=3.5,Consistent
pulsar,2.0.2,1,>=3.4.1,>=3.5,Superset
news-please,1.5.22,21,>=3.6,>=3.5,Subset
gspread-dataframe,3.3.0,3,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*,!=3.4.*",">=2.7,==3.*",Subset
sodapy,2.1.1,1,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.*",>=3.5,Superset
django-star-ratings,0.9.2,4,>=3.7,>=3.6,Subset
raiden-contracts,0.50.1,10,">=3.6, <4",>=3.8,Superset
ffsubsync,0.4.20,9,>=3.6,>= 3.6,Consistent
blueqat,1.0.1,2,>=3.6,>=3.6,Consistent
datasketch,1.5.7,2,">=2.7,!=3.0.*,!=3.1.*,!=3.2.*,!=3.3.* ",>=2.7,Subset
pytest-flake8,1.1.1,2,>=3.6,>=3.7,Superset
sklearn-pandas,2.2.0,4,>=3.6,>=3.6,Consistent
json2xml,3.18.0,6,>=3.5,>=3.7,Superset
